"Name","Description","Homepage","Social networks accounts","E-mail","Contact page","Organisation Type","Physical address","Legal entity","Year of foundation","Language(s) of the platform","Phone","Keywords","Type of activity","The most important type of collaboration","Type of common resource resulting","User generated content license","Software platform license","Owner","Infrastructure provider","Other information","Scope"
"Fab Folk","Fab Folk is a collection of services for fab lab users, maintained by community members.
Fab Folk Inc. is organized and operated exclusively for charitable, educational, and scientific purpose","http://www.fabfolk.com/","","admin@fabfolk.com ","http://mail.fabfolk.com/","Social Enterprise Charity Or Foundation","MAUnited States","not for profit organization","2011-01-01 00:00:00","English","","fab lab, decentralized network","Community networks, Hacklabs / Collaborative spaces","Other","Service","No license","No license","Fab Folk Inc.","Fab Folk Inc.","",""
"Fab Lab International","Fab Lab International is a formal structure for the Fab Lab international community.
The fast and substantial increase of the worldwide Fab Lab community leads to the need of a higher degree of self-organization. Because the network diversifies, a formal structure could be supportive for various objectives within the Fab Lab community (visibility, development, spreading of research, empowerment, open design, to mention only a few). At the Fab6 Conference held in August 2010, the Fab Lab community decided to establish an International Fab Lab Association.
","http://www.fablabinternational.org/","","","http://www.fablabinternational.org/","Grass Roots Organization Or Community Network","","not for profit organization","2010-01-01 00:00:00","English","","fab lab","Hacklabs / Collaborative spaces","Exchange","Service, Brand","No license","No license","Fab Lab International","Fab Lab International","",""
"CitiLab","Citilab is a center for social and digital innovation in Cornella de Llobregat, Barcelona. Exploits and spreads the digital impact on creative thinking, design and innovation emerging from digital culture. Citilab is a mix between a training center, a research center and an incubator for business and social initiatives. This project started with the idea that digital technologies, specifically Internet, are a way of innovation much more focused on citizens. ","http://citilab.eu/en","http://twitter.com/citilab, http://www.facebook.com/citilab?ref=ts, http://www.citilab.eu/actualitat/feed, http://www.youtube.com/user/citilab, http://www.flickr.com/photos/43895508@N04/, http://www.delicious.com/search?context=all&p=citilab&lc=1b, http://www.linkedin.com/groups?mostPopular=&gid=1100517, https://plus.google.com/116215234591942086455","cornella@citilab.eu","http://citilab.eu/en/citilab/contact","Government And Public Sector","Pl. Can Suris, s/n08940 Cornellà de LlobregaSpain","public institution","2007-01-01 00:00:00","Spanish","+34 93 551 06 60","Living Lab","Hacklabs / Collaborative spaces","Space","Service, Methodology","Creative Commons: Attribution (CC BY)","GNU General Public License V2","Citilab","Citilab","",""
"Fab Academy","The Fab Academy is a Digital Fabrication Program directed by Neil Gershenfeld of MIT’s Center For Bits and Atoms and based on MIT’s rapid prototyping course, MAS 863: How to Make (Almost) Anything. The Fab Academy began as an outreach project from the CBA, and has since spread to Fab Labs around the world. The program provides advanced digital fabrication instruction for students through an unique, hands-on curriculum and access to technological tools and resources.","http://www.fabacademy.org/","https://www.facebook.com/groups/fabacademy/, http://www.fabacademy.org/feed/rss/","coordination@fabacademy.org","http://www.fabacademy.org/contact/","Academia And Research","","not for profit organization","2008-01-01 00:00:00","English","","fab lab","Hacklabs / Collaborative spaces","Space","Service, Brand","No license","No license","MIT","MIT","Barcelona:
Tomas Diez, tomasdiez@iaac.net

Amsterdam:
Alex Schaub, alex@waag.org

Providence:
Anna Kaziunas France, anna@as220.org

Detroit:
Blair Evans, b.e@mac.com

Norway:
Haakon Karlsen, haakon@fablab.no

South Africa
Bongani Mdluli, bongani@fabfolk.com

India:
COEP (in Pune) Professor Ahuja, bba@prod.coep.org.in
Vigyan Ashram (Pabal, near Pune) Yogesh Kulkarni (Director), vapabal@gmail.com

Iceland:
Frosti Gislason, frosti@nmi.is

Kenya:
Kamau Gachigi, kamaugachigi@yahoo.com
Peru

Beno Juarez, beno@fablablima.org
Victor Freundt, victor@fablablima.org

Etiopia
Bereketnesh Girma
Aysheshim Tilhaun, ayshtola@gmail.com",""
"Fab Lab Barcelona","A fab lab (fabrication laboratory) is a small-scale workshop offering (personal) digital fabrication. A fab lab is generally equipped with an array of flexible computer controlled tools that cover several different length scales and various materials, with the aim to make ""almost anything"". This includes technology-enabled products generally perceived as limited to mass production.
Fab Labs are community-driven and community-focus. 
Knowledge sharing is fostered through face-to-face interaction and through the webpage.","http://www.fablabbcn.org/","https://www.facebook.com/FabLab.BCN, https://twitter.com/fablabbcn, http://picasaweb.google.com/fablabbcnphotos, https://github.com/fablabbcn, http://vimeo.com/fablabbcn","info@fablabbcn.org","http://www.fablabbcn.org/contacto/","Academia And Research","C/Pujades 102 baixos. Poble Nou08005 BarcelonaSpain","other","2007-01-01 00:00:00","Spanish","+34 93 3209520","fab lab","Hacklabs / Collaborative spaces","Space","Service, Methodology","No license","GNU General Public License V3","Fab Lab Bcn, Institut d´arquitectura avançada de Catalunya","Fab Lab Bcn, Institut d´arquitectura avançada de Catalunya","",""
"Impact Hub","Impact hub is a network of 54 coworking spaces. It is a global coworkers community.
According to them:
Part innovation lab, part business incubator, and part community center, we offer our members a unique ecosystem of resources, inspiration, and collaboration opportunities to grow impact. We believe a better world evolves through the combined accomplishments of creative, committed and compassionate individuals focused on a common purpose.  Joining our diverse community of members and collaborators will inspire, connect, and enable you to develop your best work every step of the way.","http://www.impacthub.net/","https://www.facebook.com/HUBWorld, https://twitter.com/ImpactHub, http://vimeo.com/impacthub","brooke.estin@impacthub.net","http://www.impacthub.net/what-is-impact-hub","Business","Lindengasse 56 / 18-191070 ViennaAustria","for profit organization","2007-01-01 00:00:00","English","","coworking space, federated network","Hacklabs / Collaborative spaces","Space","Service, Brand","No license","No license","Impact Hub GmbH","Impact Hub GmbH","",""
"CreativeMornings","CreativeMornings is a breakfast lecture series for the creative community. Free, monthly events feature a short talk and breakfast. Networking, knowledge sharing and community building.","http://creativemornings.com/","http://instagram.com/creativemorning, http://twitter.com/creativemorning, https://www.facebook.com/creativemornings","","http://creativemornings.com/contact","","New York, NYUnited States","not for profit organization","2008-01-01 00:00:00","English","","event, coworking","Hacklabs / Collaborative spaces","Space","Others","No license","No license","CreativeMornings","","",""
"BurningMan","Burning Man is an annual event and a thriving year-round culture. The event takes place the week leading up to and including Labor Day, in Nevada's Black Rock Desert. The Burning Man organization (Black Rock City LLC) creates the infrastructure of Black Rock City, wherein attendees (or ""participants"") dedicate themselves to the spirit of community, art, self-expression, and self-reliance. They depart one week later, leaving no trace. 
Ten Principles of Burning Man:
Radical Inclusion
Gifting
Decommodification
Radical Self-reliance
Radical Self-expression
Communal Effort
Civic Responsibility
Leaving No Trace
Participation
Immediacy","http://www.burningman.com/","","","http://www.burningman.com/scripts/composit/mailform.php?d=burningman&n=press&...","Grass Roots Organization Or Community Network","Black Rock DesertBlack Rock Desert, NVUnited States","not for profit organization","1986-01-01 00:00:00","English","","event, coworking","Hacklabs / Collaborative spaces","Other","Others","No license","No license","Black Rock City LLC","Black Rock City LLC","",""
"Jelly","Jelly is a casual working event. It's taken place in over a hundred cities where people have come together (in a person's home, a coffee shop, or an office) to work for the day. We provide chairs and sofas, wireless internet, and interesting people to talk to, collaborate with, and bounce ideas off of.
","http://workatjelly.com/","http://wiki.workatjelly.com/w/page/12752597/FrontPage","hello@workatjelly.com","http://wiki.workatjelly.com/","Grass Roots Organization Or Community Network","","other","2006-01-01 00:00:00","English","","coworking space, coworking","Hacklabs / Collaborative spaces","Space","Resource, Service","No license","Public Domain","workatjelly.com","PBWorks for the Wiki","",""
"One Community Global ","One Community is a 501(c)3 non-profit organization purposed for creating open source and free-shared blueprints for The Highest Good of All. The resources we are creating simultaneously address the foundations of every major challenge our planet is currently facing. The purpose of this comprehensive approach is positive and permanent global transformation though building solution models that create solution creating models. These models include sustainable and Highest Good: food, energy, housing, education, for-profit and non-profit business design, social architecture, fulfilled living, stewardship practices and more. 
We believe the ability and resources exist to create a better world through a duplicable model demonstrating what is possible. With this in mind, One Community is a non-profit organization of forward-thinking people creating global transformation for The Highest Good of All. Our approach is starting and leading a movement of self-sufficient and self-replicating teacher/demonstration communities, villages, and cities purposed to forward the necessary knowledge base and global consciousness capable of positively and permanently improving life for everyone and everything on this planet.","http://www.onecommunityglobal.org/open-source/","http://www.facebook.com/onecommunityupdates, http://twitter.com/#!/onecommunityorg, http://www.youtube.com/onecommunity1future, http://www.pinterest.com/onecommunityorg/one-community/, http://onecommunityglobalorg.tumblr.com/","","http://www.onecommunityglobal.org/contact/","Grass Roots Organization Or Community Network","","not for profit organization","2010-01-01 00:00:00","English","","Free comunity, open source community","Community networks, Others","Collage","Service, Design","Creative Commons: Attribution (CC BY)","Open Source License","One Community ","Powered by Digital Empathy Web Design","",""
"Coworking.org","The members of this Community are engaged with and working on a model and approach that they call Open Coworking.  They list spaces all over the world, with businesses looking very different.  Their values are:

    Collaboration
    Openness
    Community
    Accessibility
    Sustainability 
","http://wiki.coworking.org","http://groups.google.com/group/coworking, https://www.facebook.com/CoworkingWikiProject, https://twitter.com/coworkingwiki","","","Grass Roots Organization Or Community Network","","other","2014-01-01 00:00:00","English","","coworking, network, wiki","Community networks","Collage","Resource","Public Domain","Public Domain","Coworking.org","PBWorks","Wiki powered by PBWorks",""
"NextSpace","NextSpace is a network of coworking spaces that focus on creating a collaborative community. The members come from a wide variety of industries: software, design, marketing, legal services, architecture, and engineering, ... NextSpace has facilities in 9 locations.

","http://nextspace.us","http://twitter.com/nextspace, http://www.facebook.com/NextSpace, http://www.flickr.com/photos/nextspacesantacruz/, https://plus.google.com/110326075514621401365","SantaCruz@nextspace.us","http://nextspace.us/about-us/","Business","101 Cooper StreetSanta Cruz, CA 95060United States","for profit organization","2008-01-01 00:00:00","English","+1 831-420-0710","coworking space","Hacklabs / Collaborative spaces","Space","Resource, Brand","No license","GNU General Public License V2","NextSpace","NextSpace","In total, 9 physical locations",""
"Freicoin","Although mining is necessary for security, it consumes real world resources and it is not necessary to issue 100% of the total initial monetary base through mining in order to secure the network. The Freicoin Foundation will issue 80% of the initial monetary base to prevent this wasteful issuance (that maximizes the costs of production to minimize seigniorage) and to experiment with new issuance mechanisms.

The goal is to distribute the 80 million FRC before 2016. After this 3 year period the monetary base will remain stable at 100 million FRC and the 5% demurrage will be distributed p2p. This 3 year timeframe is a compromise between the foundation as a tool to bootstrap the currency and the need of an eventual removal of the issuance role of the foundation in order for the currency to become purely p2p. That means the annual 5% will go in full to miners if no alternative has been found.

The challenge is to design schemes in which the foundation doesn't have much control over the final issuance decisions while at the same time it can ensure transparency and that funds aren't issued against the foundation's principles.

If a fully p2p issuance mechanism alternative to mining is found, a mechanism (for example, proof-of-stake voting) could be established to determine how much goes to security (miners) and how much to the alternative.","http://freico.in/","http://twitter.com/freicoin, http://identi.ca/freicoin, http://www.facebook.com/pages/Freicoin/227107500747148","","http://freicoin.freeforums.org/","Grass Roots Organization Or Community Network","","other","2014-01-01 00:00:00","English","","cryptocurrency money bitcoin","P2P currency","Exchange","Resource, Others","Creative Commons: Attribution-ShareAlike (CC BY-SA)","MIT License","Contributors ","Daemon ","",""
"Actipedia ","Actipedia is an open-access, user-generated database of creative activism. It’s a place to share, read about, and comment upon experiences and examples of how activists and artists are using creative tactics and strategies to challenge power and offer visions of a better society.","http://actipedia.org/tag/activism","http://twitter.com/artsactivism, http://facebook.com/artsactivism","contact@artisticactivism.org","http://artisticactivism.org/contact/","Academia And Research","New York,United States","not for profit organization","2007-01-01 00:00:00","English","","Activism wiki art","Community networks, Others","Collage","Service, Design","Creative Commons: Attribution-NonCommercial-ShareAlike (CC BY-NC-SA)","Other licenses"," Center for Artistic Activism and the Yes Lab.","NA","http://artisticactivism.org/ 
http://yeslab.org/ 
The URLs of owners. ",""
"Crisis Commons","CrisisCamp began as an idea for an event to bring together people who were interested in leveraging technology and telecommunications systems to assist communities in times of crisis.  In June 2009 the first CrisisCamp was held in Washington DC as an open forum for practitioners, first responders, humanitarian aid workers, technologies, academia and the private sector to come to together to explore opportunities to enhance the capabilities of citizens, communities and crisis response organizations capability and capacity to response to, recover from, mitigate against and prepare for crises. 
CrisisCommons is a global community of volunteers from technology, crisis response organizations, government agencies, and citizens that are working together to build and use technology tools to help respond to disasters and improve resiliency and response before a crisis.","http://crisiscommons.org","https://www.facebook.com/CrisisCommons, http://www.twitter.com/crisiscommons, http://www.crisiscommons.org/feed, https://github.com/crisiscommons","community@crisiscommons.org","","Grass Roots Organization Or Community Network","United States","not for profit organization","2009-01-01 00:00:00","English","","Disaster Response, humanitarian help","Community networks, Others","Building collective process","Service","Copyright","Private software","CrisisCommons","Wordpress","The Alfred P. Sloan Foundation in partnership with the Woodrow Wilson International Center for Scholars granted a planning grant  and a Trustee Grant to support the development of CrisisCommons to help curate a new body of knowledge, document lessons learned from volunteer response and to convene communities to support the growth of CrisisCamps",""
"CS Seco","Seco is a self-managed social center that is in the Adelfa neighborhood in Madrid, with over twenty years of history behind it.","http://www.cs-seco.org/","https://twitter.com/CS_Seco, https://www.facebook.com/pages/Centro-Social-Seco/455562874523397, http://www.youtube.com/user/CentroSocialSeco","centrosocialseco@gmail.com","http://www.cs-seco.org/?page_id=768","Grass Roots Organization Or Community Network","c/ Luis Peidró, 228007 Madrid MadridSpain","other","1990-01-01 00:00:00","Spanish","","social center, vallecas","Urban commons, Hacklabs / Collaborative spaces","Space","Resource","No license","GNU General Public License V2","","","",""
"Betahaus","Betahaus is a coworking space in Berlin, Hamburg, Sofia and Barcelona. 
They focus on community building and foster the interactions between the different coworkers in the different locations.
They organize frequent meetings and gatherings for networking and knowledge sharing

They also have a maker space in Berlin facility: 
Apart from separate meeting rooms, large event spaces, an fablab called open design city and our café on the ground floor for relaxed entertainment, we have a coworking space of approximately 1500 square meters. They provide access to printers, scanners, and free wi-fi","http://betahaus.de","http://www.facebook.de/betahaus, https://twitter.com/betahaus, http://flickr.com/betahaus","kontakt@betahaus.de","http://betahaus.de/?lang=en","Business","Prinzessinnenstraße 19-2010969 BerlinGermany","for profit organization","2009-01-01 00:00:00","German","","coworking space","Hacklabs / Collaborative spaces","Space","Service, Brand","No license","GNU General Public License V2","Betahaus ","Betahaus ","",""
"SinDominio","SinDominio aims to create a free Internet space, where there was not companies neither customers, where the possibilities of using the Internet as a means are not limited to what you pay for, where all people participate in decision making.","http://www.sindominio.net/","","","http://sindominio.net/contacto.php3","Grass Roots Organization Or Community Network","Spain","other","1999-01-01 00:00:00","Spanish","","autonomous, mediactivism, antagonist telematics","Community networks, Citizen media","Exchange","Resource, Service","Creative Commons: Attribution (CC BY)","No license","","","",""
"MOB - Makers of Barcelona","MOB is more than a co-working space, it is a localized community of makers. 
With over 120 members MOB, provides the perfect platform from which to take a project from idea to completion. Allowing to test, prototype, market and release your project all under one roof. Makers Of Barcelona also serves as a meeting place for the creative community, apart from the co-working space MOB has held monthly events ranging from 3D printing workshops, Java Script Meetup, Social Media brainstorming sessions as well as hosting some bigger events including:  the Global Service Jam, Firefox Apps Day, Etsy Meetup and  the WeArt Festival. An empty box, MOB takes the shape of the members and their projects.","http://www.mob-barcelona.com/","https://twitter.com/MOB_BCN, http://www.facebook.com/MOB.BCN, http://4sq.com/rXfNH2, http://www.mob-barcelona.com/homepage/category/blog/","info@mob-barcelona.com","http://www.mob-barcelona.com/homepage/","Business","Calle Bailen 11, Bajos08010 BarcelonaSpain","for profit organization","2011-01-01 00:00:00","English, Spanish","+34 93 667 4165","coworking space, maker space, fab lab","Hacklabs / Collaborative spaces","Space","Resource, Brand","No license","GNU General Public License V2","Makers of Barcelona","Makers of Barcelona","MOB is divided in 2 organizations, a for-profit firm (for the coworking space) and a non-profit association (for the maker space)

Online platform is a blog (Wordpress)",""
"Zooniverse ","The Zooniverse is now one million strong. That’s one million registered volunteers – so in fact many more people have taken part without logging in too.

The Zooniverse started less than 7 years ago with the launch of Galaxy Zoo. We have since created almost 30 citizen science projects from astronomy to zoology. Some of you have been with us from the very start, some have only joined this week. Either way, we are constantly amazed by the effort that the community puts into our projects.","https://www.zooniverse.org/","https://twitter.com/the_zooniverse, https://www.facebook.com/therealzooniverse, https://plus.google.com/+ZooniverseOrgReal/posts","cjl@astro.ox.ac.uk","","Academia And Research","Oxford Astrophysics Denys Wilkinson Building Keble Road Oxford, OX1 3RH United KingdomOxfordUnited KingdomOX1 3RHUnited Kingdom","not for profit organization","2007-01-01 00:00:00","English","44 (0) 7808 167288.","Citizen science","Citizen science","Collage","Resource, Others","Creative Commons: Attribution-ShareAlike (CC BY-SA)","Other licenses","Zoouniverse","Department of Physics, University of Oxford","Dr Chris Lintott  main responsable",""
"Patio Maravillas","El Patio Maravillas a versatile and self-managed space located in the central district of Malasaña in Madrid.","http://patiomaravillas.net/","https://twitter.com/patiomaravillas, https://www.facebook.com/patiomaravillas.csa","contacto@patiomaravillas.net","http://patiomaravillas.net/contacto","Grass Roots Organization Or Community Network","Calle Pez, 21.28004 Madrid MadridSpain","other","2007-01-01 00:00:00","Spanish","","squatter, social center","Urban commons, Hacklabs / Collaborative spaces","Building collective process","Resource, Others","Creative Commons: Attribution-ShareAlike (CC BY-SA)","GNU General Public License V2","","aLabs","",""
"Radio Almenara","Radio Almenara is the free and community radio of the Ventilla neighborhood, situated in the north of Madrid. 

Radio Almenara is a vehicle (like many other free radio, fanzines, etc..) to output alternative culture and information that does not fit in any other media.","http://www.radioalmenara.net/","https://twitter.com/almenararadio, https://www.facebook.com/RadioAlmenara","almenara@radioalmenara.net","http://www.radioalmenara.net/spip.php?article21","Grass Roots Organization Or Community Network","Calle Magnolias 3528029 Madrid MadridSpain","not for profit organization","1991-01-01 00:00:00","Spanish","+34 91 315 11 12 ","radio, community radio","Community networks, Collaborative video, audio, images, Citizen media, Urban commons","Building collective process","Resource, Service","Creative Commons: Attribution-NonCommercial-ShareAlike (CC BY-NC-SA)","No license","Asociación Cultural Radio Almenara","Asociación Cultural Radio Almenara","",""
"nolotiro.org","nolotiro.org is a website where people give free gifts and seek for second hand furniture, chairs, sofas, bicycles, laptops, tables, stoves, lamps, beds, clothes, toys, baby cribs or cars, mobile phones and other any things you no longer want and do not need, so people who may need them can reuse them and give them a new life.","http://nolotiro.org/","https://twitter.com/nolotiro, https://www.facebook.com/nolotiroteloregalo","","http://nolotiro.org/es/contact","Grass Roots Organization Or Community Network","","other","2010-01-01 00:00:00","Spanish","","gifts, free","P2P economy","Physical resource","Service","No license","AGPL license","aLabs","aLabs","",""
"Your Priorities ","The initiative believe that improved democracy is the path to a more equal world. The Internet offers an unique opportunity to reinvent democracy. Your Priorities is a powerful eDemocracy web application designed by the non profit Citizens Foundation to help groups of people speak with one voice.

People submit ideas and debate them in a simple but advanced debate system. The best ideas with the best points for and against rise to the top.

They won the European e-Democracy Awards 2011 and have won numerous Icelandic awards for innovation and participation.","https://www.yrpri.org/home/world","https://www.facebook.com/Citizens.is, https://twitter.com/CitizensFNDN","citizens@citizens.is","","","The Citizens Foundation (Íbúar Samráðslýðræði ses) Skipholt 11-13 108 ReykjavíkReykjavíkIceland","not for profit organization","2008-01-01 00:00:00","English","00 354 8978229","Citizens, collective action, political participation","Community networks, Citizen media","Building collective process","Service, Methodology","Other","Open Source License","Citizens Foundation","Citizens Foundation","",""
"Open Ministry","The Open Ministry (Avoin ministeriö) is about crowdsourcing legislation, deliberative and participatory democracy and citizens initiatives. It is a non-profit organization based in Helsinki, Finland.We help citizens and NGO's with national citizens' initiatives, EU citizens initiatives and develop the online services for collaborating, sharing and signing the initiatives. 

 Joonas Pekkanen
04/08/2012 12:05
The media

Open Ministry is a service that helps people to change the law for the better.

Open the Ministry acts as organizations and people's movements to help the citizens' initiative campaign planning and implementation. Ministry of the open web service anyone can publish their ideas and start collecting the preliminary support. Feasibility of the ideas is intended to refine the quality of legislative proposals together. Open the Ministry has provided the opportunity to sign the online initiatives (such as bank codes) from 01.10.2012. Initiatives that are at least 50 000 signatures go for parliamentary debate.

Open Ministry is a politically independent registered association, founded on a voluntary basis. Principles of transparency and fairness. We've put together this page of useful information and links to media use and to answer your questions and help you as best we can.","https://www.avoinministerio.fi/","https://twitter.com/Open_Ministry, http://www.tumblr.com/follow/theopenministry, http://openministry.info/rss, http://www.facebook.com/Avoinministerio, https://github.com/avoinministerio/avoinministerio","palaute@avoinministerio.fi","http://www.facebook.com/groups/214682028623413/","Grass Roots Organization Or Community Network","Avoin ministeriö ry:n postiosoite on Avoin ministeriö ry, c/o Joonas Pekkanen, Caloniuksenkatu 10 D 67,00100 Helsinki.Finland","not for profit organization","2012-01-01 00:00:00","Finnish"," 050 584 6800","","Community networks, Citizen media","Building collective process","Service, Others","Creative Commons: Attribution (CC BY)","Creative commons: BY-SA 3.0","Open Ministry ","NA","",""
"patients likeme","PatientsLikeMe is committed to putting patients first. We do this by providing a better, more effective way for you to share your real-world health experiences in order to help yourself, other patients like you and organizations that focus on your conditions. PatientsLikeMe is a health information sharing website for patients. Only here do patients like you have the opportunity to share both personal stories and health data about your conditions to help uncover great ideas and new knowledge. 

By sharing information on our site, you can put your disease experiences in context and find answers to the questions you have.  You can:

• know detailed information about every medication, supplement or device used to treat patients like you and learn about what works;

• connect easily with patients that have the same conditions experiencing the same symptoms or using similar treatments; and

• learn from patients like you.

Imagine partnering in real time with doctors, researchers and companies to improve the understanding of your disease and accelerate the development of new treatments? This is what is at the heart of the PatientsLikeMe vision– the kind of information sharing that will impact the lives of patients like you and transform healthcare by putting patients back at the center of the system.","http://www.patientslikeme.com/","http://www.twitter.com/patientslikeme, http://www.facebook.com/PatientsLikeMe, http://www.youtube.com/PatientsLikeMe, http://www.flickr.com/photos/patientslikemeinmotion","support@patientslikeme.com","http://www.patientslikeme.com/about/contact","Grass Roots Organization Or Community Network","155 Second StreetCambridge, MA 02141United States","for profit organization","2004-01-01 00:00:00","English","","health data, social care, information disease","Collaborative archive, Citizen science","Space","Service","Other","Private software","PatientsLikeMe, Inc.","PatientsLikeMe, Inc.","",""
"TioLive Grid","TioLive was created with the idea that a full ERP / CRM / email service could be offered based on a ""Freemium"" business model where occasional users get the service for free and power users pay a reasonable subscription fee. It was also created with the idea that a loyal service level agreement which protects privacy, trade secret and the ability to move away from SaaS to self-hosted open source solution would be a strong differentiator compared to leading proprietary SaaS.
Privacy protection, trade secret and freedom to leave are irrelevant differentiators for the vast majority of the market. The only aspect of TioLive which drew significant attention was its ""zero"" pricing, which is no longer a strong differentiator. Only very few TioLive users have considered to adopt its ""Premium"" offer, in a market where most competition is gratis.
This makes TioLive unsustainable financially.","http://www.tiolive.com","","jingjing.xu@nexedi.com","http://www.nexedi.com//contact","Business","Nexedi SA 270 bd Clémenceau59700 Marcq-en-BaroeulFrance","for profit organization","2010-01-01 00:00:00","English","+33(0)6 62 05 76 14","cloud computing, decentralized network","Community networks","Exchange","Service","No license","Open Source License","Jean-Paul Smets","TioLive + users (P2P)","",""
"Spam Attacks","We propose a decentralized privacy-preserving approach to spam filtering. Our solution exploits robust digests to identify messages that are a slight variation of one another and a peer-to-peer architecture between mail servers to collaboratively share knowledge about spam","http://www.researchgate.net/publication/2943860_Spam_Attacks_P2P_to_the_Rescue","","","","Academia And Research","Italy","public institution","2004-01-01 00:00:00","English","","spam, decentralized network","Collaborative filtering","Exchange","Service","No license","No license","Ernesto Damiani; Sabrina De Capitani di Vimercati; Stefano Paraboschi; Pierangela Samarati; Andrea Tironi; Luca Zaniboni","Users (P2P)","",""
"NoseRub","Noserub is a protocol and reference implementation for a decentralized social network service. Its basic principle is an openness to other social network services so that information can be shared more easily without having to register and actively monitor each one.","http://noserub.com/","","","","Grass Roots Organization Or Community Network","Germany","other","2009-01-01 00:00:00","English","","social network","Community networks","Collage","Service","No license","MIT License","Alexander Kaiser, Daniel Hofstetter, Dirk Olbertz","Users (P2P)","",""
"Netsukuku","The Netsukuku project is based on the very simple idea of exploiting the great potentiality of the wifi connectivity, making the PCs of wireless communities act as routers and handle together an ad-hoc network even bigger than the Internet.

Netsukuku is an ad-hoc network system designed to handle massive numbers of nodes with minimal consumption of CPU and memory resources. It can be used to build a world-wide distributed, fault-tolerant, anonymous, and censorship-immune network, fully independent from the Internet. Netsukuku does not rely upon any form of backbone router, internet service provider network, or any centralized system, although it may take advantage of existing systems of this nature to augment unity and connectivity of the existing Netsukuku network.","http://netsukuku.freaknet.org/?pag=home","http://irc.freenode.org, http://lists.dyne.org/mailman/listinfo/netsukuku","","http://netsukuku.freaknet.org/?pag=contacts","Grass Roots Organization Or Community Network","CataniaItaly","public institution","2005-01-01 00:00:00","English","","mesh networking","Community networks","Physical resource","Service","No license","Open Source License","Andrea Lo Puno","Users (P2P)","",""
"Diaspora*","Diaspora (currently styled diaspora* and formerly styled DIASPORA*) is a nonprofit, user-owned, distributed social network that is based upon the free Diaspora software. Diaspora consists of a group of independently owned pods which interoperate to form the network. As of September 2013, there were estimated to be more than 405,000 Diaspora accounts","https://joindiaspora.com/","","","","Academia And Research","New York UniversityNew York, NYUnited States","not for profit organization","2010-01-01 00:00:00","English","","social network, federated network","FLOSS communities, Community networks, Free software social networks and platforms","Collage","Service","No license","AGPL license","Diaspora Foundation","Users (P2P)","",""
"P2P-Next","The P2P-Next integrated project will build a next generation Peer-to-Peer (P2P) content delivery platform, to be designed, developed, and applied jointly by a consortium consisting of high-profile academic and industrial players with proven track records in innovation and commercial success","http://www.p2pnext.eu","","jari.ahola@vtt.fi","http://www.p2pnext.eu/?page=content&id=ACDF4D8C9BE6D805A9DE1C9ADB572F40&mid=B...","Academia And Research","Jari Ahola, VTT Technical Research Centre of FinlandTekniikankatu 133720 TampereFinland","public institution","2008-01-01 00:00:00","English","+358 20 722 3334","streaming, peer-to-peer","P2P file sharing","Exchange","Service","No license","Private software","VTT Technical Research centre","Users (P2P)","",""
"Tribler","Tribler is an open source peer-to-peer decentralized client with various features for watching videos online. The user interface of Tribler is very basic and focused on ease of use, instead of diversity of features. Tribler is based on the BitTorrent protocol and uses an overlay network for content searching, which makes the program operate independent of external websites and renders it immune to limiting external action, for example, government restraint. Due to this overlay network Tribler does not require an external website or indexing service to discover content. Tribler features include: video-only searching, experimental video streaming, and an integrated video player. Tribler is available for Linux, Windows, OS X and Android.[6]","http://www.tribler.org","","","http://www.tribler.org/trac/wiki/Contact","Academia And Research","Delft University of Technology, Department EWI/PDS/TriblerPO Box 5031 26002600 GA DelftNetherlands","public institution","2007-01-01 00:00:00","English","","peer-to-peer network","P2P file sharing","Exchange","Service","No license","GNU General Public License V2","Delft University","Users (P2P)","",""
"Usenet","Usenet is a worldwide distributed Internet discussion system. It was developed from the general purpose UUCP dial-up network architecture. Duke University graduate students Tom Truscott and Jim Ellis conceived the idea in 1979 and it was established in 1980.[1] Users read and post messages (called articles or posts, and collectively termed news) to one or more categories, known as newsgroups. Usenet resembles a bulletin board system (BBS) in many respects, and is the precursor to Internet forums that are widely used today. Usenet can be superficially regarded as a hybrid between email and web forums. Discussions are threaded, as with web forums and BBSes, though posts are stored on the server sequentially.","http://en.wikipedia.org/wiki/Usenet","","","","Academia And Research","","other","1979-01-01 00:00:00","English","","distributed, forum, discussion system","Citizen media","Collage","Resource, Service, Internet protocol","No license","No license","Tom Truscott & Jim Ellis","Users (P2P)","",""
"Seventeen or Bust","Seventeen or Bust is a distributed computing project started in March 2002 to solve the last seventeen cases in the Sierpinski problem. The project has solved eleven cases, and continues to search for solutions to the remaining six","http://www.seventeenorbust.com/","","","http://www.seventeenorbust.com/help/about.mhtml","Academia And Research","","public institution","2002-01-01 00:00:00","English","","distributed computing, peer-to-peer","Collaborative research","Exchange","Others","No license","Private software","Louie Helm & David Norris","Users (P2P)","",""
